,sequence_id,x,y,width,height
0,267f2bd0-4e0a-455a-a5df-a6b5044822d7,697.0,427.0,1.0,1.0
1,b06eec44-d8eb-4833-8d6f-cd0ff0e9152d,656.0,402.0,35.0,21.0
2,2db47701-7504-44c9-8365-0632d67491a7,668.0,418.0,17.0,6.0
3,4c136f1a-cf16-4753-8377-126ba4c1e0f0,658.0,403.0,37.0,20.0
4,b6b212e4-58f8-4c7b-8296-e534784e4c6a,651.0,412.0,19.0,9.0
5,a6aa388c-84de-488f-8f5d-aeb50325e272,671.0,401.0,39.0,18.0
6,37a5f718-d574-444b-94b7-970858d90a02,655.0,397.0,44.0,20.0
7,ba0dcaab-36c1-4f73-8940-bb3ecffbb6bc,674.0,415.0,11.0,3.0
8,46ca5cff-2d53-41d7-87a2-d3d4ab1742d8,651.0,405.0,28.0,12.0
9,2be1e908-6b7d-4407-9487-abb74c79bcfb,661.0,404.0,36.0,12.0
10,ba6d596b-fac7-4a20-99a0-a2abcc538e91,641.0,403.0,28.0,12.0
11,ebf871c0-c23f-4e2a-85d4-f65cac9dcb4d,632.0,390.0,52.0,21.0
12,1532e0ba-8432-40f2-90f0-6f03604162ad,640.0,395.0,52.0,18.0
13,79643990-72de-415a-8fcf-f9c43d61701f,656.0,390.0,62.0,17.0
14,84030727-e795-4f3f-853e-a4bc7def923e,657.0,392.0,61.0,18.0
15,864d7d48-93d6-44e1-86d5-ab83c627f63d,634.0,391.0,59.0,17.0
16,8538af59-6afe-4bae-b1e2-3ac2420f35de,649.0,388.0,67.0,16.0
17,cbfcfbf4-f59d-4898-b1fc-67d926596968,631.0,395.0,29.0,13.0
18,d5fb72e6-1177-481d-a6b3-61cfc35b7039,636.0,386.0,69.0,16.0
19,ad0a0a5f-961b-4c12-bee6-dad680ae98d4,628.0,394.0,27.0,13.0
20,782c6768-7129-4703-9de4-7a418d46754f,627.0,396.0,21.0,11.0
21,aee72d85-a86b-4f31-9210-1556806b00e0,627.0,393.0,26.0,12.0
22,f15fef76-332d-4551-a01a-969109c5dba8,639.0,394.0,25.0,9.0
23,896a404a-92c7-4a51-b53c-05c98219e35f,627.0,389.0,38.0,13.0
24,a7ec17c7-b5fc-45c4-bf96-ac2c424766fd,627.0,395.0,18.0,9.0
25,525b65f9-45df-45b1-a7fa-d40af7e01e36,626.0,390.0,29.0,12.0
26,8a088a65-edb0-4f1b-ac80-6aecd8fb432e,633.0,399.0,8.0,2.0
27,0c1dc2b3-1241-4009-836a-db9915a9cd14,619.0,390.0,27.0,12.0
28,5941bb97-736e-4f47-b630-a588c8571b4f,622.0,391.0,25.0,10.0
29,7a62f584-f382-4b0e-bb04-a3b28e5fcce5,619.0,391.0,23.0,9.0
30,1e31d82d-3272-417c-9096-ecac3626b061,621.0,384.0,64.0,11.0
31,62af4162-9602-4ba6-a3cb-392dea093dbb,613.0,389.0,22.0,11.0
32,0979c1c3-4827-46f7-8666-4d15c140d66a,610.0,386.0,30.0,14.0
33,8ec867f7-4a1e-4bf4-ba60-5ac1e25785c2,610.0,389.0,18.0,12.0
34,ae4a173f-66f1-4d58-9453-0c3ea1c537b7,609.0,385.0,47.0,12.0
35,417716df-80f8-4caa-abbc-4f19b37777ed,607.0,385.0,38.0,13.0
36,13eec8ca-9341-4c17-99b9-7d74658ddd6b,605.0,384.0,42.0,13.0
