,sequence_id,x,y,width,height
0,6ef7206e-88e2-425b-8fbf-6502eeda0d50,567.0,367.0,154.0,56.0
1,6ef7206e-88e2-425b-8fbf-6502eeda0d50,582.0,357.0,127.0,97.0
2,c8b21e0a-dba1-48e2-bcb1-df0b7a1566c7,581.0,377.0,129.0,66.0
3,e49e222e-4a19-4093-87fb-35a8b3c6f276,585.0,363.0,125.0,90.0
4,5615aa1b-4603-4fa4-97f8-2ca7f37588c4,597.0,349.0,109.0,106.0
5,2f1911ff-9098-450c-ad7d-33277bb44174,577.0,347.0,134.0,110.0
6,ded45d96-acd3-4ae6-a2e8-9ee013ab43d2,568.0,360.0,146.0,94.0
7,3af34aed-7f9e-4413-99f2-41c8969e699d,577.0,371.0,134.0,75.0
8,4bfd5cae-4f14-4be2-a3d2-2933e7bfcd50,588.0,348.0,122.0,108.0
9,028a1f1c-6ef6-4ee9-bee0-f00e26e721b6,577.0,376.0,135.0,67.0
10,78d9ae16-ced6-4350-88f3-71209c9332dc,591.0,337.0,105.0,122.0
11,9a2c4772-8eee-4ed5-add9-66b1f81eb1ae,573.0,357.0,141.0,98.0
12,1d8152f8-1092-4a1a-adc5-ca94c12d380a,568.0,369.0,147.0,77.0
13,661a7aad-a093-4763-a110-91b04583a2f2,578.0,365.0,135.0,83.0
14,2c3eaed0-d5a4-43a0-b5de-4bd5f83feacc,587.0,338.0,111.0,121.0
15,86012c79-0491-4202-9000-811abcf7640d,572.0,367.0,143.0,86.0
16,cd4b5ea0-54d0-40bd-be87-4f1a86871049,583.0,376.0,129.0,67.0
17,a028a3ae-95c0-4d3d-9381-600a5d90df7f,581.0,344.0,133.0,113.0
18,2bdc93d4-5c57-4c75-9934-57a12385598e,574.0,381.0,140.0,64.0
19,3cebbb13-9d19-48a5-89a8-227283e6d3a1,572.0,377.0,143.0,68.0
20,8e66aac5-2a25-4e8c-b43f-5403021a8abd,583.0,344.0,130.0,113.0
21,21ec9072-b91b-4f43-b234-1bbd7d34dc62,569.0,367.0,147.0,81.0
22,0e739122-9929-4f5e-ad0e-0e863bb834ba,586.0,349.0,127.0,106.0
23,f33dff34-afa7-4c5f-abc9-94f6eab4a0ba,581.0,376.0,134.0,67.0
24,aa51326a-8990-442c-b90e-bf5c08c8fa65,572.0,362.0,144.0,91.0
25,9d8d935e-d64d-44fd-ab45-6556633a7eac,593.0,348.0,119.0,108.0
26,353dcc5b-0497-41d1-a17e-2e06800d144c,575.0,349.0,141.0,108.0
27,e3d96bc1-336d-48e6-a2f3-5c306a0fd44c,572.0,357.0,146.0,98.0
28,121672b1-3486-408f-a108-f6aacfaa5495,567.0,377.0,152.0,65.0
29,0371abc1-5d1b-4e6b-84aa-68edc0be8bc8,569.0,365.0,149.0,84.0
30,e899ca5a-64e0-4ede-b542-f3386477d983,562.0,359.0,157.0,94.0
