sequence_id,trans_x,trans_y,trans_z,rotat_x,rotat_y,rotat_z,rotat_w
dc679c98-6fa4-475f-9273-ad3cb606214f,0.011741775,0.117829598,100.0061798,-0.433769256,0.553788304,0.513322294,0.491592526
76f14c41-d943-46fd-bd7a-25be0fc765ba,0.015952827,0.117244862,100.0244751,-0.495067298,0.484772295,0.430391401,0.578504443
18edf67c-8fa4-4a98-940f-08a7830d74cb,0.004301513,0.118268847,100.0484314,0.498876661,-0.483329177,-0.481519729,-0.534466147
e48e7566-06ca-4126-a58f-a71a2c2ac12d,0.019807696,0.116588339,100.08461,-0.492547452,0.480855554,0.412689,0.596542358
c351ef37-867c-40e0-bb1e-9ecfe1c22f5e,-0.003860716,0.118188702,100.1283035,-0.440962464,0.52815932,0.571945488,0.446629852
7830d575-cc28-41af-be45-0a27a6d72d08,0.02471978,0.115495637,100.1305542,0.491714239,-0.471308321,-0.384812921,-0.622900188
0745c04f-7e62-49b2-a008-07f1a95eb236,-0.00579092,0.118075669,100.181839,0.581692517,-0.363972098,-0.415600628,-0.597021222
c49020ec-aa5d-42d2-b9d7-c0c46029e283,0.019802583,0.115818702,100.2518463,0.536659241,-0.386957258,-0.32985425,-0.673392355
a050bd90-9b36-4c63-94ce-3d27d23b4051,0.002948352,0.118010864,100.3177032,0.532319009,-0.420767397,-0.441022307,-0.587444246
4015695f-7ba8-44f2-9f38-ab5b7c5f19a7,0.032403823,0.112848207,100.4039536,0.484255075,-0.447545052,-0.3380723,-0.671496511
46263bdc-512a-40ca-9b8c-c4b09d39b729,0.023265911,0.115549356,100.4889221,-0.4790259,0.47153303,0.405026764,0.619793653
319b034c-d802-42bf-8bb7-ab88719cece3,0.040018409,0.110006377,100.4954071,0.424845368,-0.493917078,-0.37137416,-0.66153878
b476f716-a3fb-4cd4-bb06-305c3d4cf27c,0.030440725,0.113734908,100.5879135,-0.413886487,0.524441779,0.445102334,0.596274197
d9ae860c-6a3f-472f-a89e-541ae4cdf4c8,0.009668212,0.117221013,100.6951675,0.421180576,-0.514347732,-0.537075818,-0.519233048
89f1d7f2-173e-4eaa-83a4-227e83e87632,0.050784387,0.103644416,100.8225479,-0.33855772,0.522976518,0.40261054,0.670655668
a0051a37-4ff7-415b-9b2d-5fce6e31ec67,0.022402951,0.115314104,100.9339066,-0.396118373,0.529094934,0.503974378,0.556020379
7caefada-192d-4563-9672-0dd34ed6f4c8,0.045160603,0.107395187,101.0711594,-0.334711581,0.546345413,0.447962582,0.623542011
780c6310-0b2f-47ce-832f-920c95d865c0,0.048052508,0.105070412,101.0759201,0.369358063,-0.50399065,-0.380677015,-0.681654871
533bfaa5-91a2-465b-8bb9-def8649cd325,0.040945273,0.109031171,101.2103806,0.422924995,-0.480333388,-0.361328036,-0.67812705
05bea029-1e8d-4d61-86eb-b0d17f0764c1,0.058892574,0.098897576,101.3636398,0.405935287,-0.466607243,-0.245491266,-0.746477365
d1dbe581-bc4d-4bae-b32d-ecd3c03f609a,0.045530703,0.105398364,101.519371,0.439041674,-0.429852545,-0.28316319,-0.736402035
5566c75b-6513-41f7-a1cb-64c667910758,0.066770501,0.088347711,101.6944122,0.325549394,-0.465755433,-0.253812492,-0.782731593
c701fa09-56ea-406f-be0d-f1423b71a7b4,0.053940158,0.093907177,101.8698883,0.336083263,-0.429864526,-0.315359235,-0.77641046
90891b63-26b8-4938-8e5d-74f62970afba,0.06902682,0.081525698,101.8730927,0.331102103,-0.417839319,-0.166504905,-0.829492569
ccd1d241-dca9-4344-a6d7-41b2d92776bc,0.055930678,0.096058659,102.0395966,-0.336320341,0.463183552,0.330899805,0.75023669
a7c0fb0b-076b-47c4-9498-66546637ae2f,0.054477878,0.094342738,102.2291107,-0.260127991,0.486136228,0.440153897,0.708709717
6df05614-6590-4086-a18c-761fd1dbadc1,0.064828441,0.091030389,102.4127808,-0.224815711,0.532925725,0.428364843,0.694227457
535a9b0f-4d57-4a1d-bca0-de31d1b22a47,0.070911661,0.08168491,102.6195602,-0.17565091,0.515379369,0.422230124,0.724743247
f3a58c3c-4c33-45b1-8881-564a41139829,0.094480716,0.061404388,102.8122025,-0.155495867,0.567482591,0.245791793,0.770305812
8bd637ce-9223-4839-b576-c3f62c4dd53d,0.071777306,0.08620695,102.8137283,-0.239864007,0.531282365,0.355189472,0.730783701
336cd38b-5bd4-4fa6-a53c-c6d72da9d99e,0.066822819,0.089836188,103.0253601,0.317957908,-0.485872567,-0.280557066,-0.764276445
b625b014-3ae7-4376-b615-ca025f32e665,0.054832537,0.102916054,103.2247772,0.247723863,-0.593042016,-0.485019296,-0.593034923
d1886216-a315-475d-a291-166ff353cfe4,0.094785951,0.064882025,103.4566574,0.142064452,-0.598511875,-0.28305468,-0.735854208
2d8e2809-d465-4548-9a68-a77933b53550,0.062466856,0.096151516,103.6872253,0.379608929,-0.480668813,-0.2532323,-0.748817861
cc10b748-baea-46ed-8a5c-b2bd6a2149c7,0.067652151,0.093081392,103.9214554,0.299519867,-0.540435016,-0.332300931,-0.712596714
f5adb44d-d9a6-4229-9a3d-d8f7f508cc63,0.085159227,0.078218967,103.9190521,-0.269715488,0.56496501,0.228686497,0.745500326
3d17b1cf-9139-4598-aab2-9af1a6fa750f,0.103802629,0.051454742,104.1596527,-0.117962465,0.618376493,0.208560392,0.748463809
14a4e145-2808-4dd5-a49c-3313666262f9,0.09592472,0.062318955,104.4130249,0.118894719,-0.597216487,-0.293899566,-0.736762881
d03d8d9e-f1e7-434e-926d-a9a44ef4388b,0.098541677,0.05768799,104.666748,-0.112137198,0.595705807,0.267946303,0.748842359
90134818-c6b4-420d-9808-83300157ad1a,0.094123498,0.07086762,104.9055939,0.074092522,-0.666514456,-0.377982289,-0.638277471
b73d94b4-e745-4fa8-9f13-371ffadc595c,0.099504523,0.050606217,105.1968231,0.120751478,-0.564478874,-0.209729284,-0.789174557
0d94f279-3ae9-4b84-9637-cd56ec11d97e,0.076003641,0.078810334,105.2024307,0.231383175,-0.505948901,-0.304028898,-0.773333132
be02f1a1-dc5f-4cc7-aec2-f3709ca5ff53,0.085107259,0.069988199,105.4695206,-0.164172933,0.538340271,0.31602028,0.763785601
c47dc15c-c3af-477d-b64d-e52b199024bd,0.06468372,0.087306611,105.7470169,-0.211627424,0.506370962,0.427845418,0.718157768
f4266cc2-7690-4f14-a909-1e4f08cd0472,0.083665334,0.076969199,106.0117874,-0.083402827,0.594152272,0.454507291,0.658369362
8155b05c-6476-4ba2-a0dc-0fca5d74d4a8,0.066416852,0.077465609,106.3221817,-0.190706313,0.458161533,0.391358197,0.774956703
4a7f90ca-7f82-4635-ba91-b3cd3b17e4e4,0.054987013,0.09014605,106.6037521,-0.251812965,0.458608657,0.424078643,0.739206195
bdc125c7-4357-407b-9a63-bc9bfb4b62cc,0.070965223,0.081814311,106.5980377,-0.178288296,0.515826881,0.418847054,0.725743234
d7d19e7a-aff5-4534-b285-e586f459beba,0.067015767,0.070350684,106.9104385,-0.21201013,0.411366433,0.290459245,0.837533772
7ea259e4-ad61-4324-b2d5-dc64ae080e9c,0.074081153,0.069094218,107.2009964,-0.18230781,0.455928952,0.315118194,0.812153399
72036b9d-97f5-44e9-bffd-207769573285,0.073752351,0.081326418,107.4852219,-0.098359808,0.550433755,0.506516695,0.656345189
b847264c-6181-4b33-a7e2-f22ad6f5f3b3,0.073846631,0.052933808,107.822113,-0.059711907,0.419219434,0.418721974,0.803344131
7bb469ec-074b-49ca-bfd8-9d68ed7a1d50,0.088730782,0.063828975,107.7917328,-0.04002367,0.553161025,0.435943037,0.708776891
a1e64045-44cd-4ab3-a58a-9349cc5daf3e,0.078841269,0.068135716,108.1116791,-0.118789613,0.498372853,0.395635337,0.762224615
2da546b0-35ba-4d22-a658-416119b76be7,0.078066349,0.045932967,108.4448242,-0.04875258,0.418981552,0.36637795,0.829364061
a50cd794-66f6-490b-bf0f-4fd65d55b85e,0.093349464,0.049476687,108.7389297,-0.010172507,0.523402095,0.384349585,0.760409355
bba5f660-66d4-4cc8-bf69-9071e59e3691,0.085453652,0.044371083,109.0748444,0.02656367,0.456327766,0.455035746,0.76420027
806e1c92-fc9c-40a9-9b3f-0f7967e62729,0.10108199,0.02470102,109.3864517,0.148447484,0.489110887,0.437760413,0.739661992
12298d68-1303-401b-81dd-d65b8d636166,0.080153711,0.03939423,109.4076767,0.075779825,0.40730679,0.544127166,0.729578078
4388648d-7275-4c0e-ba25-3a0e78387326,0.095569,0.016144792,109.7253189,0.212170213,0.409545302,0.533638656,0.708862782
