sequence_id,trans_x,trans_y,trans_z,RotQ_x,RotQ_y,RotQ_z,RotQ_w,RotE_x,RotE_y,RotE_z
bf11a11a-5365-4ad2-a31a-26d42d201ad0,-0.044579323,-0.0027723,236.7884521,0.136564583,0.900138557,-0.087384865,-0.404307544,-157.8520985,-44.74867134,153.5338574
55df4600-881e-44ff-8b62-91410d50047e,-0.04550264,0.00355659,232.0626984,0.104371518,0.899001896,-0.015862424,-0.42503044,-169.5902658,-49.54315686,161.9414136
0ae2213b-4291-4021-a759-487240547cf8,-0.042430203,0.010070363,229.3224792,0.10684526,0.909666896,0.046528593,-0.39865461,-179.954551,-47.32651834,166.5820772
788799ab-f2a6-471b-a626-90a8bf22bf68,-0.051827442,0.011670238,226.6745453,0.195060968,0.827239752,-0.005237731,-0.526875854,-154.282387,-60.41938059,138.3226619
8edbff8f-3694-4a55-9c90-5805bef653ff,-0.054079942,0.004872804,223.2502289,0.148840368,0.824051559,-0.048382372,-0.544467509,-148.9986333,-61.99858122,140.6019449
2870df7b-33b2-4b5c-a58b-5d048b737238,-0.049861342,-0.000720261,220.7663116,0.070330933,0.874925852,-0.045274913,-0.476978958,-164.8629078,-55.9218045,162.7393266
24a72f86-c0cd-4bc8-abcb-3434a61e723a,-0.049373727,0.010492825,216.8272247,0.085445344,0.86901921,0.05423874,-0.484317064,178.7447197,-58.32392208,169.4694906
2ce058d8-a5cd-4375-b4e5-350b0da83ee9,-0.050793137,-0.002991567,215.3190155,0.154642671,0.856018841,-0.116173998,-0.479396731,-145.9313563,-51.70349437,142.631285
fdd98ff1-db2f-4413-9c01-7ec09c9c575b,-0.049984999,0.016292052,213.8523712,0.191036329,0.833597064,0.04632917,-0.516212165,-165.463613,-61.44116899,145.5164998
e97a0f37-6a22-479f-9d3f-15446c77a7ea,-0.055130012,0.006134351,210.3609619,0.15443942,0.807953715,-0.044415757,-0.566909671,-145.0535936,-64.46928865,135.9028863
d5ac0a85-ec0f-474e-83b1-94aab3c96c8f,-0.056088671,0.000169941,207.7509003,0.106108643,0.807075322,-0.074019969,-0.57610023,-143.3796809,-66.09296376,140.7217162
84840c11-c6b3-45f3-8f16-0e54def4c7bd,-0.054096002,0.001705307,205.3056488,0.104789265,0.832880735,-0.050743073,-0.541067541,-154.1956592,-62.95563899,149.6903616
689090af-04db-41dd-a6d9-ed1a8db0a6a0,-0.053579476,0.01552764,203.5950317,0.191471994,0.795831323,0.026386473,-0.573842347,-152.4007759,-67.43841817,134.3254138
1cdf7c31-0495-443b-bf30-19e6617d5e33,-0.056330506,0.001146454,202.5097961,0.16950278,0.791753292,-0.111289896,-0.576203346,-129.9483063,-61.00874816,125.0748456
1700abb1-fa96-4161-8494-41175e141bb9,-0.053055726,-0.003455911,200.9571075,0.158148751,0.834458828,-0.131702617,-0.511196673,-139.2450581,-54.24154903,136.9932829
4250635b-137f-4b1f-bb59-54a8de6c2a94,-0.056011572,0.012155627,199.5279236,0.166113183,0.775035679,0.00148147,-0.609691679,-142.0246668,-71.00689761,128.2226906
4fdbcebb-342d-4928-8dd9-874284262093,-0.056241717,-0.005531156,197.3618774,0.019533942,0.807180941,-0.071963221,-0.585575581,-155.409246,-70.47904437,159.7209238
044695e1-f89c-48c8-977e-1521fada2d7a,-0.057338815,-0.003878677,195.8526764,0.066173464,0.78671664,-0.092661709,-0.606722355,-137.4843289,-70.45404576,139.6623674
1dbcc3fa-5d8d-4c91-b02f-b477a836035d,-0.056801189,0.011977023,194.8504333,0.120055713,0.765876353,0.032945078,-0.630820692,-153.4295874,-76.94957394,140.9265402
115078ca-4d61-4ca8-8753-3830cc8d3f29,-0.058707967,0.000837587,194.2466583,0.070554651,0.751874149,-0.052062247,-0.653450012,-129.5077865,-77.23325733,127.9999841
edaad46d-6aab-48d2-af9d-9311a3d38c77,-0.056950573,0.008950813,193.1775513,0.099231772,0.779967546,0.018174555,-0.617635548,-158.2675586,-75.25723025,148.6637877
399322d7-86a6-41d5-b95f-542bae71eadb,-0.057067655,-0.003751841,192.7204437,0.13131614,0.784947693,-0.138898835,-0.589339018,-125.5846577,-62.71298235,126.2169158
d7b1cf61-a48b-4c76-8180-d82be5cf7f40,-0.058985263,0.002915815,192.1444855,0.150925651,0.721217752,-0.105804823,-0.667736471,-103.628009,-68.6272479,99.90675728
48b7d462-02d3-428c-b76f-60a31df5c29e,-0.056599542,0.008958116,191.5328522,0.156631708,0.777345061,-0.025520137,-0.60872823,-138.1938892,-69.78275973,127.3865908
9b1e43d4-149a-432a-becc-fab264ec6c8a,-0.0585845,0.00924516,191.324585,0.19191514,0.685013592,-0.081813321,-0.698019922,-91.83126804,-67.65382108,82.72795518
a82f76f5-6a93-4b6f-8d67-2f7616eccfb8,-0.059069656,0.005374986,191.1542511,0.179875329,0.684966147,-0.116622791,-0.696322799,-90.42837412,-65.77761567,85.18461465
c6a25aa9-ea0c-4b30-88cf-e07d9b197678,-0.059146862,-0.004013226,190.9953613,0.096470661,0.704339147,-0.142458916,-0.688698411,-91.85452022,-70.50455742,95.63615016
cbc67e27-06bf-4f44-bc98-532340992b9a,-0.059244178,0.00162082,190.9573517,0.056061964,0.693663239,-0.03837584,-0.717088401,-76.78729725,-82.10971922,75.35077618
d0d69dd7-7a8a-4e96-ba36-bb48780e1e3d,-0.058013547,0.004611128,191.003891,0.091461621,0.628558934,-0.05021961,-0.770731151,-46.58911452,-73.68127034,43.21267484
0c1147d3-d9f9-4859-a983-312600acbdde,-0.058510054,0.00907765,191.2204742,0.103344291,0.718369663,0.007510972,-0.687901616,-112.1441516,-81.84488993,103.1296302
12e192cc-98d4-46b9-9ece-46d0f340717c,-0.056828026,0.009938337,191.546524,0.111628443,0.60986954,-0.006328303,-0.784575284,-38.3446305,-72.85545408,29.70775273
feffcedb-1e4b-4442-9c7d-bd72411e3c18,-0.057749435,0.007084275,191.8146362,0.122917622,0.622749746,-0.056135546,-0.770663857,-53.18412609,-71.0957584,47.69630046
1fc2e2e1-3bf4-4202-a918-6fe6007a12a1,-0.058144607,-0.00382368,192.5079956,0.033850607,0.636734962,-0.091257147,-0.764914989,-41.95974238,-75.44752781,46.65037894
b4759efc-a157-47e0-b33f-2c75c43f69d7,-0.057161238,0.013139232,193.4013977,0.107046254,0.644079566,0.046290874,-0.756015658,-34.74178479,-79.66610613,22.24164218
3f278044-d92c-44da-9eaf-81fcc96bfb20,-0.058051165,0.003192834,194.2067719,0.126398548,0.621942997,-0.112247288,-0.764598489,-59.71500348,-67.32369055,58.54550463
ef70dd13-6548-403d-a90f-b67c03b185d3,-0.056487381,-0.004078534,195.1258392,-0.005241582,0.592686653,-0.050806928,-0.803811967,-9.880518019,-72.43019772,14.47718632
f3ca693b-595e-430f-b5f2-12b1b437018a,-0.057639044,-0.003746325,195.7910156,0.087475188,0.615167916,-0.160364777,-0.766941905,-55.49837303,-66.28253475,61.5360994
fcb9fbcb-b3e5-4176-8310-3422fb286580,-0.05852025,-0.00319055,197.2679443,0.079288021,0.647595525,-0.132992327,-0.746087611,-62.90328273,-70.95039884,67.31678014
60cb8d30-4650-46f3-910a-a1191457ac2c,-0.053352527,0.014431405,198.0918579,0.162675753,0.540754497,-0.023123857,-0.824976742,-39.00743919,-62.21416356,27.33884766
6ff185c1-ed58-41da-93b0-4f2f7ba001be,-0.055687513,-0.002489134,199.394043,-0.090204179,-0.566720426,0.164775774,0.802209616,-44.15761139,-61.58572962,50.39375017
33de07ce-94f0-418a-8cfe-57e5d36d6918,-0.05815129,0.007136005,201.2792053,-0.101213828,-0.642067611,0.02602558,0.759491742,-50.36808252,-75.93524972,44.2265749
be30d617-e79a-4740-9ef5-d6089e2685df,-0.058001511,0.007399581,202.2944946,-0.119659133,-0.633876979,0.045576401,0.762761056,-55.08202123,-72.95720476,49.00936166
fcba8003-9420-46cb-a413-8e989ad0060c,-0.055329874,0.002383974,203.3638153,-0.108900592,-0.555660009,0.123565413,0.814932108,-41.26670655,-61.49044808,42.49274644
d1d38d0b-c20a-4197-af92-7d76ada7aa1e,-0.050727401,0.01204099,205.6145935,-0.116440549,-0.497750998,-0.002871717,0.859463573,-22.45494003,-58.89989985,12.407066
abcf5c42-e9a1-4e52-b8b7-d0e2813b2147,-0.055253245,-0.005487521,208.0166168,-0.064189218,-0.565831542,0.172970533,0.803614259,-40.38311905,-62.52530278,49.46657531
