,sequence_id,Pos_x,Pos_y,Pos_z,RotE_x,RotE_y,RotE_z,RotQ_x,RotQ_y,RotQ_z,RotQ_w
0,6ef7206e-88e2-425b-8fbf-6502eeda0d50,0.010692596,0.00189209,246.8716125,-150.023748,-48.51214729,157.7381497,-0.065774761,-0.884644806,0.154741645,0.434893399
1,6ef7206e-88e2-425b-8fbf-6502eeda0d50,0.008459091,-0.006088257,246.0633087,169.277556,-48.72560255,157.7399172,-0.212895662,-0.882467926,-0.162795171,0.386553615
2,c8b21e0a-dba1-48e2-bcb1-df0b7a1566c7,0.004779816,-0.059837341,245.2329712,179.45674,-44.16706619,154.7492017,0.204277381,0.903830886,0.086461201,-0.36590296
3,e49e222e-4a19-4093-87fb-35a8b3c6f276,0.016548157,-0.022331238,244.442276,166.8290904,-44.78676456,164.0730982,0.170518279,0.903579235,0.157445014,-0.360109985
4,5615aa1b-4603-4fa4-97f8-2ca7f37588c4,0.049695969,0.014717102,244.4404907,156.8037959,-40.75477377,168.2320695,0.16377227,0.906264901,0.222437859,-0.319975257
5,2f1911ff-9098-450c-ad7d-33277bb44174,-0.003984451,0.020431519,243.7004852,176.9042181,-56.94096845,144.9885429,0.276607275,0.834171355,0.165987343,-0.447319627
6,ded45d96-acd3-4ae6-a2e8-9ee013ab43d2,-0.026779175,-0.016143799,242.9082642,-179.3301509,-56.67058097,148.6552254,0.235094756,0.848196745,0.123258963,-0.458366752
7,3af34aed-7f9e-4413-99f2-41c8969e699d,0.000287056,-0.045181274,240.5218048,168.9381528,-46.81123954,167.2878655,0.1391761,0.903589725,0.131680712,-0.383165866
8,4bfd5cae-4f14-4be2-a3d2-2933e7bfcd50,0.029060364,0.017883301,240.5361633,154.4103023,-45.4658479,172.1079214,0.147272542,0.891392887,0.229705721,-0.361890942
9,028a1f1c-6ef6-4ee9-bee0-f00e26e721b6,0.000630379,-0.057769775,239.7457275,-176.505429,-46.56141178,149.8459887,0.227190733,0.889681816,0.075715452,-0.388739139
10,78d9ae16-ced6-4350-88f3-71209c9332dc,0.038209915,0.047409058,239.0201111,161.5020617,-52.56050461,155.8847093,0.254461825,0.850591958,0.232221395,-0.397260278
11,9a2c4772-8eee-4ed5-add9-66b1f81eb1ae,-0.009595871,-0.00718689,236.7585907,177.0410972,-55.8645456,150.7977299,0.234349936,0.851634741,0.140119791,-0.447397888
12,1d8152f8-1092-4a1a-adc5-ca94c12d380a,-0.022350311,-0.040214539,236.7513275,177.977536,-54.50252927,156.3921184,0.189740166,0.868418872,0.109011441,-0.444931298
13,661a7aad-a093-4763-a110-91b04583a2f2,0.006662846,-0.029098511,235.9809723,170.144705,-48.91249116,162.3618874,0.174184024,0.890739143,0.140503675,-0.395603865
14,2c3eaed0-d5a4-43a0-b5de-4bd5f83feacc,0.032090187,0.044502258,234.5397339,163.8149011,-55.0007171,154.6719776,0.255946279,0.842560649,0.222052515,-0.418659687
15,86012c79-0491-4202-9000-811abcf7640d,-0.009007454,-0.033493042,233.7913971,-173.5515186,-52.92228116,143.8872551,0.25321421,0.85756892,0.090021476,-0.438582361
16,cd4b5ea0-54d0-40bd-be87-4f1a86871049,0.022191048,-0.056346893,233.0235596,-178.335422,-44.38643879,150.9580602,0.226822734,0.897619009,0.081680283,-0.368998647
17,a028a3ae-95c0-4d3d-9381-600a5d90df7f,0.016379118,0.027229309,232.3659821,166.6881656,-56.16644903,155.8609849,0.236593872,0.84553802,0.197770074,-0.435862333
18,2bdc93d4-5c57-4c75-9934-57a12385598e,-0.000519276,-0.069278717,231.6053925,168.6627772,-47.2940333,173.5046427,0.091196641,0.907845914,0.112947762,-0.393372446
19,3cebbb13-9d19-48a5-89a8-227283e6d3a1,-0.004767895,-0.060016632,230.9045868,174.5217874,-50.11103033,163.9929746,0.146028519,0.893231332,0.101767197,-0.412864447
20,8e66aac5-2a25-4e8c-b43f-5403021a8abd,0.024598002,0.02804184,230.2294617,156.4977765,-52.6971043,168.0092427,0.18153201,0.863089621,0.226890087,-0.413089871
21,21ec9072-b91b-4f43-b234-1bbd7d34dc62,-0.011226654,-0.033607483,228.8297424,169.7883154,-54.80617262,165.4801655,0.152377293,0.872002661,0.136307299,-0.444761753
22,0e739122-9929-4f5e-ad0e-0e863bb834ba,0.034289122,0.014251709,228.1246033,156.2818524,-48.34650303,171.1170407,0.153043285,0.883640945,0.217956662,-0.385034442
23,f33dff34-afa7-4c5f-abc9-94f6eab4a0ba,0.021697044,-0.055953979,227.4091644,-179.3359573,-46.21518018,153.4224297,0.20920065,0.895649433,0.085021615,-0.383169174
24,aa51326a-8990-442c-b90e-bf5c08c8fa65,-0.002646446,-0.02098465,226.7765808,-176.4355262,-55.684771,146.1510239,0.243390054,0.849758148,0.109585583,-0.454602599
25,9d8d935e-d64d-44fd-ab45-6556633a7eac,0.055991888,0.017177582,226.0702667,162.1425833,-46.98486714,161.6044692,0.205891132,0.884461284,0.203456372,-0.365982145
26,353dcc5b-0497-41d1-a17e-2e06800d144c,0.008421421,0.014011383,225.4498596,-176.4244959,-58.94276403,139.9667908,0.283433855,0.822867155,0.142802507,-0.471341223
27,e3d96bc1-336d-48e6-a2f3-5c306a0fd44c,0.000523567,-0.006622314,224.1212921,-171.1157067,-57.6308398,137.8645546,0.279178381,0.828573525,0.109414987,-0.472814888
28,121672b1-3486-408f-a108-f6aacfaa5495,-0.010079384,-0.05897522,223.447937,-173.8993083,-54.17648184,150.7007466,0.201402426,0.866270721,0.069165245,-0.451916188
29,0371abc1-5d1b-4e6b-84aa-68edc0be8bc8,-0.00521183,-0.026287079,222.8139954,165.9519932,-56.07720337,169.1858438,0.139773622,0.866692364,0.151414931,-0.45429188
30,e899ca5a-64e0-4ede-b542-f3386477d983,-0.022421837,-0.010902405,222.2118988,176.73842,-64.60160081,155.1043447,0.196971118,0.821772456,0.138625294,-0.516406298
31,5b89c655-f488-4934-944b-62cf075e8dde,0.041260719,0.018638611,221.514328,156.1118565,-49.79934625,170.8527836,0.157619491,0.877635121,0.219967723,-0.395635039
32,3c9a208a-860f-4f01-9ed9-04aecec194a8,-0.003996849,0.019691467,220.9446411,166.8919526,-64.65455397,160.0589626,0.205464691,0.816238225,0.186975569,-0.506536961
33,f8fc409c-93f7-4809-8f62-c32004b06bdc,-0.002651215,0.005271912,220.3002472,176.3013604,-62.41602056,151.8672111,0.223986894,0.825149655,0.152641535,-0.495639741
34,1bcb55cc-c275-4e2d-a981-4803161860dd,-0.01758194,-0.054790497,219.6552887,176.3878596,-58.37391768,162.9452701,0.14459011,0.860673964,0.099486209,-0.477950394
35,8bc3df04-1ae2-4a14-9f4e-0c4a2d7293cb,0.035494804,0.040904999,219.0464935,150.546413,-54.94127444,173.5240377,0.165546834,0.850106895,0.250386775,-0.432688087
36,6abaa6ab-c889-4ecb-93c7-e42bf34cc257,0.00586319,-0.012432098,218.4243011,-177.2995578,-58.1069243,146.8444225,0.238377869,0.840862989,0.118776344,-0.471187532
37,d08cb7ab-88b9-4f48-9880-5d3293cc5c12,-0.022478104,-0.053653717,217.2328033,167.9553979,-60.45740589,173.0900954,0.104505926,0.854509473,0.120657183,-0.494301528
38,af0c0b17-f7d9-42ca-af55-260a9a4629b7,-0.005371094,-0.050479889,216.6138916,-169.954476,-56.42950966,145.6492996,0.219664633,0.850876093,0.065365389,-0.472741723
39,c3894c5d-ffeb-4645-bc38-9fafaa704a1c,0.019601822,-0.04391098,216.5860901,178.5845899,-51.63776252,156.3986897,0.189344049,0.879982829,0.099945292,-0.424016595
40,2a6f1544-e92e-4d7d-ab70-b7b2413202d3,0.02406311,0.050010681,215.4904938,171.6775298,-66.17149276,148.9701251,0.261695027,0.794599712,0.204218075,-0.50835222
41,628bb30a-b9b3-42d4-81d4-c5a4204edf30,-0.011058807,-0.040809631,214.8766174,-164.6501996,-59.32267004,139.0815312,0.239095822,0.829960644,0.062696844,-0.50006789
42,c7c869e2-b3c1-4936-ab08-d3774daf58a8,0.053796768,0.018306732,214.264267,158.2305074,-50.19404474,168.8083701,0.166428372,0.877250433,0.210806519,-0.39786166
43,0961e563-c828-436f-85d8-c4b28914ee68,0.054973602,0.020397186,213.696228,161.4182584,-51.46371621,164.2965882,0.190884948,0.871108115,0.202605754,-0.40457958
44,e4425f40-d169-4a3a-9ea3-b58b233760a5,0.007831573,-0.009506226,213.7300415,-175.0127921,-60.00027704,144.771529,0.241082519,0.831222534,0.115248427,-0.487510443
45,f26efbe6-e3f0-4148-b0ca-8aee2b73649b,0.018823624,0.043354034,212.6510925,162.2598624,-66.59657224,161.36246,0.217259049,0.801221669,0.215012848,-0.514404476
46,6dfefd2b-957a-4212-8c61-d1a6df760cb7,0.006479263,-0.050449371,211.4851379,-170.8186454,-55.79807838,146.9267258,0.214838684,0.855160296,0.064946011,-0.467255056
47,d1f44cb5-a464-44bd-a4a1-847a803f268f,0.05705452,0.03686142,210.9472504,160.2076584,-54.81616261,163.064218,0.20703125,0.853357971,0.217685089,-0.426065266
48,21ab9fba-319e-4e69-a48b-dfb1a1e71b2c,0.029342651,0.016376495,210.9623871,164.681273,-58.72818546,163.1283695,0.191362068,0.844812691,0.186196834,-0.463684052
49,2aab7798-be05-41a7-9b12-2bf5d4338921,-0.019319534,-0.021602631,209.9458313,166.5610033,-68.41856255,169.9801433,0.137256578,0.812426329,0.145155579,-0.54777199
50,73b35a08-ada3-485a-a7ed-0c1309b260aa,0.013269424,-0.048816681,209.3444366,-173.3120192,-55.47231691,149.6919727,0.204781026,0.859964192,0.07162232,-0.461948693
51,239f550c-e0fd-47b2-b9cb-8a7b7906cd55,0.016870499,-0.006019592,208.849411,174.9809169,-60.37563244,156.3580012,0.198453069,0.840728581,0.139954567,-0.483946919
52,878be9b9-a47d-46e4-908a-e769bae599b3,-0.019218445,-0.033180237,208.3781281,-160.6170208,-66.77919296,136.7121531,0.217452705,0.799173772,0.069437578,-0.556070268
53,145ed013-67c3-490a-a580-5b457cb55f0e,0.030406952,-0.026050568,208.3019714,169.3929197,-53.8506624,165.9261636,0.150301635,0.875965536,0.137029529,-0.437397808
54,85552d68-6f88-4909-973f-4eed8cd98feb,-0.015487671,-0.034072876,206.8618622,-179.3508461,-67.7043166,157.3106369,0.160267353,0.814859271,0.10496372,-0.547084689
55,4a4f2ff2-bcf5-4cc9-9bb1-01b31ab4ae24,0.033130646,0.025859833,206.339447,166.4218517,-61.88106722,160.4167645,0.204736903,0.828943968,0.186741486,-0.485862374
56,9dbde703-3032-4e8d-9d97-9c860d5707dc,0.013051987,-0.005947113,205.8537292,-177.7734313,-63.11852857,149.3348381,0.215463877,0.824304402,0.122400463,-0.509034038
57,5a0f291f-5881-4dc6-bf63-2b7cab2f3d1d,0.007221222,-0.002864838,205.3863678,-172.8449993,-65.57960715,144.1331664,0.226194754,0.808665872,0.116519608,-0.530394793
58,85da9824-76b4-4f06-9101-7b8bc91630cb,-0.012794495,-0.049301147,204.9106293,-158.6094588,-64.10589725,137.233988,0.211940885,0.811415136,0.043666221,-0.542936265
59,3c8ca1b8-d88e-4dbb-883a-5e33ee408a52,0.001205444,-0.025863647,204.4312744,-169.2692759,-64.18887642,144.4086987,0.21047698,0.818288147,0.086245179,-0.52788806
60,cbac1ca0-9f1c-439b-95c3-853a84851d55,0.047981262,0.011295319,203.9246979,175.196253,-57.28655502,152.3513627,0.229026556,0.846650243,0.150153369,-0.456272155
61,3ba336f0-7352-46ec-a9de-23891b3c4949,-0.017520905,-0.035484314,203.5419312,-167.7688843,-70.49299652,146.3478559,0.176207766,0.795061052,0.082820512,-0.57442981
62,c67bf07c-9ffd-4adb-8190-6d1b5f60a91b,0.011798859,0.007200241,203.066391,-172.3469306,-67.30917249,142.6187184,0.231119111,0.798589408,0.124576166,-0.541589916
