,sequence_id,Pos_x,Pos_y,Pos_z,RotE_x,RotE_y,RotE_z,RotQ_x,RotQ_y,RotQ_z,RotQ_w
0,267f2bd0-4e0a-455a-a5df-a6b5044822d7,-73.73308,12.1979551,-464.8822,12.6631842,227.005417,210.597977,0.2273387,-0.4590095,-0.1227606,-0.8500336
1,b06eec44-d8eb-4833-8d6f-cd0ff0e9152d,-73.74452,12.19367,-464.866058,3.18802977,238.9377,192.325562,0.1469831,-0.4307148,-0.1156837,-0.8828918
2,2db47701-7504-44c9-8365-0632d67491a7,-73.76357,12.1888056,-464.8398,10.6285477,233.655579,139.844574,-0.2156875,0.4251425,0.08260271,0.8751626
3,4c136f1a-cf16-4753-8377-126ba4c1e0f0,-73.7750549,12.1871681,-464.8243,3.266297,236.375443,103.859772,-0.2766887,0.388232,0.0843467,0.8749886
4,b6b212e4-58f8-4c7b-8296-e534784e4c6a,-73.79023,12.1849232,-464.803864,14.5927792,226.773666,76.8303757,0.2075795,-0.5257031,-0.1630949,-0.8086699
5,a6aa388c-84de-488f-8f5d-aeb50325e272,-73.80548,12.1826038,-464.7833,9.889002,239.7421,39.0054436,0.1659367,-0.527658,-0.1170225,-0.824832
6,37a5f718-d574-444b-94b7-970858d90a02,-73.81696,12.1808767,-464.7678,2.709565,228.117218,14.723238,-0.1779995,0.4370034,0.0410956,0.8807129
7,ba0dcaab-36c1-4f73-8940-bb3ecffbb6bc,-73.828476,12.1792,-464.752319,0.6329136,234.671753,343.832855,-0.2720498,0.4254016,0.05085079,0.8616477
8,46ca5cff-2d53-41d7-87a2-d3d4ab1742d8,-73.8475952,12.1763182,-464.726685,14.1544561,223.897079,293.607544,0.108301,-0.4435388,-0.1251447,-0.8808422
9,2be1e908-6b7d-4407-9487-abb74c79bcfb,-73.85914,12.1745739,-464.7112,13.9624662,228.710785,259.126953,0.2594129,-0.4688264,-0.1482145,-0.8312275
10,ba6d596b-fac7-4a20-99a0-a2abcc538e91,-73.87442,12.1722612,-464.6908,12.2934275,225.160431,228.426865,0.1650472,-0.5052273,-0.1147459,-0.8392487
